"coverage","METRIC.F1_Score","caller"
5.376196,0.885904,"DV-0.10.0"
5.376196,0.785937,"GATK-3.5.0"
5.376196,0.853386,"GATK-4.1.0.0"
6.702725,0.931983,"DV-0.10.0"
6.702725,0.866771,"GATK-3.5.0"
6.702725,0.914226,"GATK-4.1.0.0"
6.785016,0.931485,"DV-0.10.0"
6.785016,0.857845,"GATK-3.5.0"
6.785016,0.90991,"GATK-4.1.0.0"
6.96983,0.918871,"DV-0.10.0"
6.96983,0.853505,"GATK-3.5.0"
6.96983,0.897843,"GATK-4.1.0.0"
7.152798,0.952154,"DV-0.10.0"
7.152798,0.884248,"GATK-3.5.0"
7.152798,0.929717,"GATK-4.1.0.0"
7.583176,0.944802,"DV-0.10.0"
7.583176,0.890163,"GATK-3.5.0"
7.583176,0.930732,"GATK-4.1.0.0"
8.395874,0.960845,"DV-0.10.0"
8.395874,0.90875,"GATK-3.5.0"
8.395874,0.944532,"GATK-4.1.0.0"
8.751171,0.968263,"DV-0.10.0"
8.751171,0.926518,"GATK-3.5.0"
8.751171,0.956688,"GATK-4.1.0.0"
9.196328,0.976148,"DV-0.10.0"
9.196328,0.939614,"GATK-3.5.0"
9.196328,0.964732,"GATK-4.1.0.0"
9.302861,0.979616,"DV-0.10.0"
9.302861,0.941843,"GATK-3.5.0"
9.302861,0.966719,"GATK-4.1.0.0"
9.316651,0.97246,"DV-0.10.0"
9.316651,0.93399,"GATK-3.5.0"
9.316651,0.95989,"GATK-4.1.0.0"
9.431678,0.97634,"DV-0.10.0"
9.431678,0.941202,"GATK-3.5.0"
9.431678,0.964911,"GATK-4.1.0.0"
9.454196,0.977228,"DV-0.10.0"
9.454196,0.938909,"GATK-3.5.0"
9.454196,0.964193,"GATK-4.1.0.0"
9.510549,0.979154,"DV-0.10.0"
9.510549,0.944586,"GATK-3.5.0"
9.510549,0.967521,"GATK-4.1.0.0"
9.884974,0.979765,"DV-0.10.0"
9.884974,0.951599,"GATK-3.5.0"
9.884974,0.971049,"GATK-4.1.0.0"
10.050929,0.977547,"DV-0.10.0"
10.050929,0.945423,"GATK-3.5.0"
10.050929,0.96703,"GATK-4.1.0.0"
10.127726,0.982373,"DV-0.10.0"
10.127726,0.951871,"GATK-3.5.0"
10.127726,0.972904,"GATK-4.1.0.0"
10.155668,0.982177,"DV-0.10.0"
10.155668,0.949001,"GATK-3.5.0"
10.155668,0.970366,"GATK-4.1.0.0"
10.16764,0.978717,"DV-0.10.0"
10.16764,0.945667,"GATK-3.5.0"
