"method","panel","variant","nsnp","af","r2"
"beagle","AFAM-DV-GLx","SNP",1036884,4.7873e-05,0.00880717
"beagle","AFAM-DV-GLx","SNP",402511,0.000150688,0.0531355
"beagle","AFAM-DV-GLx","SNP",713700,0.000339157,0.170011
"beagle","AFAM-DV-GLx","SNP",769345,0.000740218,0.352719
"beagle","AFAM-DV-GLx","SNP",1107679,0.00147617,0.488483
"beagle","AFAM-DV-GLx","SNP",2174680,0.00337487,0.590636
"beagle","AFAM-DV-GLx","SNP",2215253,0.00729644,0.658458
"beagle","AFAM-DV-GLx","SNP",2490971,0.0144597,0.706277
"beagle","AFAM-DV-GLx","SNP",3144499,0.0324834,0.768731
"beagle","AFAM-DV-GLx","SNP",2078113,0.0716845,0.821822
"beagle","AFAM-DV-GLx","SNP",1812824,0.143341,0.869337
"beagle","AFAM-DV-GLx","SNP",2042189,0.323161,0.905817
"beagle","AFAM-DV-GLx","SNP",1600945,0.732562,0.912413
"beagle","AFAM-DV-GLx","INDEL",83545,4.82574e-05,0.00833927
"beagle","AFAM-DV-GLx","INDEL",33739,0.000150855,0.0503759
"beagle","AFAM-DV-GLx","INDEL",61023,0.000339175,0.16089
"beagle","AFAM-DV-GLx","INDEL",66959,0.000738844,0.333328
"beagle","AFAM-DV-GLx","INDEL",97268,0.00147662,0.470917
"beagle","AFAM-DV-GLx","INDEL",192271,0.00337809,0.568666
"beagle","AFAM-DV-GLx","INDEL",199050,0.0073071,0.640162
"beagle","AFAM-DV-GLx","INDEL",228276,0.014462,0.690867
"beagle","AFAM-DV-GLx","INDEL",292192,0.0324898,0.753494
"beagle","AFAM-DV-GLx","INDEL",194062,0.0716663,0.807326
"beagle","AFAM-DV-GLx","INDEL",168150,0.14319,0.855016
"beagle","AFAM-DV-GLx","INDEL",184946,0.321858,0.894886
"beagle","AFAM-DV-GLx","INDEL",133477,0.725569,0.902388
"minimac4","AFAM-DV-GLx","SNP",1036884,4.7873e-05,0.00880279
"minimac4","AFAM-DV-GLx","SNP",402511,0.000150688,0.0513397
"minimac4","AFAM-DV-GLx","SNP",713700,0.000339157,0.160871
"minimac4","AFAM-DV-GLx","SNP",769345,0.000740218,0.330601
"minimac4","AFAM-DV-GLx","SNP",1107679,0.00147617,0.455176
"minimac4","AFAM-DV-GLx","SNP",2174680,0.00337487,0.558834
"minimac4","AFAM-DV-GLx","SNP",2215253,0.00729644,0.630934
"minimac4","AFAM-DV-GLx","SNP",2490971,0.0144597,0.680075
"minimac4","AFAM-DV-GLx","SNP",3144499,0.0324834,0.744753
"minimac4","AFAM-DV-GLx","SNP",2078113,0.0716845,0.800636
"minimac4","AFAM-DV-GLx","SNP",1812824,0.143341,0.852196
"minimac4","AFAM-DV-GLx","SNP",2042189,0.323161,0.890748
"minimac4","AFAM-DV-GLx","SNP",1600945,0.732562,0.895336
"minimac4","AFAM-DV-GLx","INDEL",83545,4.82574e-05,0.00833334
"minimac4","AFAM-DV-GLx","INDEL",33739,0.000150855,0.0494258
"minimac4","AFAM-DV-GLx","INDEL",61023,0.000339175,0.152071
"minimac4","AFAM-DV-GLx","INDEL",66959,0.000738844,0.312292
"minimac4","AFAM-DV-GLx","INDEL",97268,0.00147662,0.436479
"minimac4","AFAM-DV-GLx","INDEL",192271,0.00337809,0.535561
"minimac4","AFAM-DV-GLx","INDEL",199050,0.0073071,0.611223
"minimac4","AFAM-DV-GLx","INDEL",228276,0.014462,0.665002
"minimac4","AFAM-DV-GLx","INDEL",292192,0.0324898,0.729248
"minimac4","AFAM-DV-GLx","INDEL",194062,0.0716663,0.786147
"minimac4","AFAM-DV-GLx","INDEL",168150,0.14319,0.837489
"minimac4","AFAM-DV-GLx","INDEL",184946,0.321858,0.879518
"minimac4","AFAM-DV-GLx","INDEL",133477,0.725569,0.884555
"minimac4","TOPMed","SNP",1036884,4.7873e-05,0.285341
"minimac4","TOPMed","SNP",402511,0.000150688,0.541939
"minimac4","TOPMed","SNP",713700,0.000339157,0.624278
"minimac4","TOPMed","SNP",769345,0.000740218,0.67512
"minimac4","TOPMed","SNP",1107679,0.00147617,0.706091
"minimac4","TOPMed","SNP",2174680,0.00337487,0.736933
"minimac4","TOPMed","SNP",2215253,0.00729644,0.765553
"minimac4","TOPMed","SNP",2490971,0.0144597,0.789551
"minimac4","TOPMed","SNP",3144499,0.0324834,0.829081
"minimac4","TOPMed","SNP",2078113,0.0716845,0.862455
"minimac4","TOPMed","SNP",1812824,0.143341,0.893094
"minimac4","TOPMed","SNP",2042189,0.323161,0.913103
"minimac4","TOPMed","SNP",1600945,0.732562,0.884232
"minimac4","TOPMed","INDEL",83545,4.82574e-05,0.259254
"minimac4","TOPMed","INDEL",33739,0.000150855,0.47648
"minimac4","TOPMed","INDEL",61023,0.000339175,0.533768
"minimac4","TOPMed","INDEL",66959,0.000738844,0.560388
"minimac4","TOPMed","INDEL",97268,0.00147662,0.583717
"minimac4","TOPMed","INDEL",192271,0.00337809,0.590691
"minimac4","TOPMed","INDEL",199050,0.0073071,0.600329
"minimac4","TOPMed","INDEL",228276,0.014462,0.607427
"minimac4","TOPMed","INDEL",292192,0.0324898,0.628414
"minimac4","TOPMed","INDEL",194062,0.0716663,0.627714
"minimac4","TOPMed","INDEL",168150,0.14319,0.593515
"minimac4","TOPMed","INDEL",184946,0.321858,0.471872
"minimac4","TOPMed","INDEL",133477,0.725569,0.170776
"beagle","1KGP","SNP",1036884,4.7873e-05,0.00867229
"beagle","1KGP","SNP",402511,0.000150688,0.0343696
"beagle","1KGP","SNP",713700,0.000339157,0.0875257
"beagle","1KGP","SNP",769345,0.000740218,0.174977
"beagle","1KGP","SNP",1107679,0.00147617,0.288744
"beagle","1KGP","SNP",2174680,0.00337487,0.456859
"beagle","1KGP","SNP",2215253,0.00729644,0.579957
"beagle","1KGP","SNP",2490971,0.0144597,0.647339
"beagle","1KGP","SNP",3144499,0.0324834,0.724612
"beagle","1KGP","SNP",2078113,0.0716845,0.786876
"beagle","1KGP","SNP",1812824,0.143341,0.842439
"beagle","1KGP","SNP",2042189,0.323161,0.884736
"beagle","1KGP","SNP",1600945,0.732562,0.85786
"beagle","1KGP","INDEL",83545,4.82574e-05,0.0010979
"beagle","1KGP","INDEL",33739,0.000150855,0.00745154
"beagle","1KGP","INDEL",61023,0.000339175,0.0233857
"beagle","1KGP","INDEL",66959,0.000738844,0.0648718
"beagle","1KGP","INDEL",97268,0.00147662,0.139893
"beagle","1KGP","INDEL",192271,0.00337809,0.295217
"beagle","1KGP","INDEL",199051,0.00730709,0.434286
"beagle","1KGP","INDEL",228276,0.014462,0.517627
"beagle","1KGP","INDEL",292192,0.0324898,0.60405
"beagle","1KGP","INDEL",194062,0.0716663,0.667146
"beagle","1KGP","INDEL",168150,0.14319,0.709288
"beagle","1KGP","INDEL",184946,0.321858,0.699495
"beagle","1KGP","INDEL",133479,0.72557,0.511667
"minimac4","1KGP","SNP",1036884,4.7873e-05,0.00857969
"minimac4","1KGP","SNP",402511,0.000150688,0.0338139
"minimac4","1KGP","SNP",713700,0.000339157,0.0858026
"minimac4","1KGP","SNP",769345,0.000740218,0.171027
"minimac4","1KGP","SNP",1107679,0.00147617,0.27975
"minimac4","1KGP","SNP",2174680,0.00337487,0.442697
"minimac4","1KGP","SNP",2215253,0.00729644,0.564405
"minimac4","1KGP","SNP",2490971,0.0144597,0.631009
"minimac4","1KGP","SNP",3144499,0.0324834,0.707993
"minimac4","1KGP","SNP",2078113,0.0716845,0.770844
"minimac4","1KGP","SNP",1812824,0.143341,0.828663
"minimac4","1KGP","SNP",2042189,0.323161,0.872161
"minimac4","1KGP","SNP",1600945,0.732562,0.844104
"minimac4","1KGP","INDEL",83545,4.82574e-05,0.00105257
