"bin","variant","gnomad","name","value"
38,"INDEL",0.0563281011941028,"ogp",0.260688860937847
38,"INDEL",0.0563281011941028,"afam",0.738127330221546
13,"SNP",0.000177367494821205,"hrc",0.161982786055738
13,"SNP",0.000177367494821205,"ogp",0.108314335427685
13,"SNP",0.000177367494821205,"afam",0.16728055258636
10,"INDEL",9.25118010450945e-05,"ogp",0.013835984687598
10,"INDEL",9.25118010450945e-05,"afam",0.0419462654647254
7,"INDEL",4.72654249016739e-05,"ogp",0.010800455434238
7,"INDEL",4.72654249016739e-05,"afam",0.0168232081236901
7,"SNP",4.76357198896121e-05,"hrc",0.054945040324703
7,"SNP",4.76357198896121e-05,"ogp",0.0303926189896262
7,"SNP",4.76357198896121e-05,"afam",0.0177263911774286
6,"INDEL",3.53320311973974e-05,"ogp",0.001041492103634
6,"INDEL",3.53320311973974e-05,"afam",0.0079760013628035
12,"SNP",0.000142775499874806,"hrc",0.140209257703685
12,"SNP",0.000142775499874806,"ogp",0.0847284146061285
12,"SNP",0.000142775499874806,"afam",0.116634448321415
9,"SNP",7.15591781273115e-05,"hrc",0.0834506114032913
9,"SNP",7.15591781273115e-05,"ogp",0.043872003340859
9,"SNP",7.15591781273115e-05,"afam",0.0357285943596904
8,"SNP",5.44879858129802e-05,"hrc",0.0231132746190211
8,"SNP",5.44879858129802e-05,"ogp",0.0247361981283277
8,"SNP",5.44879858129802e-05,"afam",0.0228130908222754
20,"INDEL",0.000892958625702035,"ogp",0.073909750204087
20,"INDEL",0.000892958625702035,"afam",0.437375973196305
12,"INDEL",0.000142133505304271,"ogp",0.0150945997834053
12,"INDEL",0.000142133505304271,"afam",0.0692854003506497
13,"INDEL",0.000178096093444468,"ogp",0.0224889740454106
13,"INDEL",0.000178096093444468,"afam",0.105126903329198
17,"SNP",0.000447697929804374,"hrc",0.215638432852414
17,"SNP",0.000447697929804374,"ogp",0.261741223883281
17,"SNP",0.000447697929804374,"afam",0.544517018611525
23,"INDEL",0.00177953160458306,"ogp",0.116535352380802
23,"INDEL",0.00177953160458306,"afam",0.525088977088646
17,"INDEL",0.000447256815540061,"ogp",0.046965340219337
17,"INDEL",0.000447256815540061,"afam",0.286377852307566
14,"INDEL",0.000224843842559705,"ogp",0.0239721371305238
14,"INDEL",0.000224843842559705,"afam",0.132395365535525
14,"SNP",0.000225151331338475,"hrc",0.175034663829229
14,"SNP",0.000225151331338475,"ogp",0.136227429809293
14,"SNP",0.000225151331338475,"afam",0.237388016609741
19,"INDEL",0.000709078074160935,"ogp",0.063005367760866
19,"INDEL",0.000709078074160935,"afam",0.392163099573714
48,"INDEL",0.561256351974388,"ogp",0.692117504417906
48,"INDEL",0.561256351974388,"afam",0.90766377950884
30,"INDEL",0.00892677637288491,"ogp",0.222633404834252
30,"INDEL",0.00892677637288491,"afam",0.632021466423725
30,"SNP",0.00892802455568865,"hrc",0.851151522552745
30,"SNP",0.00892802455568865,"ogp",0.9184353157528
30,"SNP",0.00892802455568865,"afam",0.961434231037232
27,"INDEL",0.00447329885591665,"ogp",0.1919167126377
27,"INDEL",0.00447329885591665,"afam",0.583147626558054
27,"SNP",0.00447316045832824,"hrc",0.644760216001905
27,"SNP",0.00447316045832824,"ogp",0.880476478576807
27,"SNP",0.00447316045832824,"afam",0.957178555567713
24,"INDEL",0.00224044931818182,"ogp",0.136590513616798
24,"INDEL",0.00224044931818182,"afam",0.542879800847563
24,"SNP",0.00223693829712026,"hrc",0.366939751013662
24,"SNP",0.00223693829712026,"ogp",0.721231350135882
24,"SNP",0.00223693829712026,"afam",0.953185257408751
37,"INDEL",0.0447627715751552,"ogp",0.255503029204721
37,"INDEL",0.0447627715751552,"afam",0.727068498458058
29,"SNP",0.00709157037575608,"hrc",0.81296313568519
29,"SNP",0.00709157037575608,"ogp",0.912674870359055
29,"SNP",0.00709157037575608,"afam",0.959779708457149
35,"INDEL",0.0282350495841275,"ogp",0.244522819708544
35,"INDEL",0.0282350495841275,"afam",0.701355225045399
21,"SNP",0.00112110265720468,"hrc",0.261755241460147
21,"SNP",0.00112110265720468,"ogp",0.496950621362251
21,"SNP",0.00112110265720468,"afam",0.899004109995623
19,"SNP",0.000709626213158022,"hrc",0.236381665058106
19,"SNP",0.000709626213158022,"ogp",0.36994680733856
19,"SNP",0.000709626213158022,"afam",0.762823750280947
18,"SNP",0.000566486429957108,"hrc",0.223956242776113
18,"SNP",0.000566486429957108,"ogp",0.312613996062092
18,"SNP",0.000566486429957108,"afam",0.657125309564318
21,"INDEL",0.00112265595791104,"ogp",0.0838277730855856
21,"INDEL",0.00112265595791104,"afam",0.471484375
22,"SNP",0.00140887205984919,"hrc",0.283657941494019
22,"SNP",0.00140887205984919,"ogp",0.570108278287384
22,"SNP",0.00140887205984919,"afam",0.933531130361844
22,"INDEL",0.00141287135666742,"ogp",0.101729769407113
22,"INDEL",0.00141287135666742,"afam",0.505823378721568
15,"SNP",0.000283448418333187,"hrc",0.190681568169728
15,"SNP",0.000283448418333187,"ogp",0.172829718995801
15,"SNP",0.000283448418333187,"afam",0.327470858919469
11,"SNP",0.00011836585250509,"hrc",0.126092352455919
11,"SNP",0.00011836585250509,"ogp",0.0708079925552363
11,"SNP",0.00011836585250509,"afam",0.0857111740538608
48,"SNP",0.563778533731082,"hrc",0.864881462689179
48,"SNP",0.563778533731082,"ogp",0.965640801329717
48,"SNP",0.563778533731082,"afam",0.972186160440906
47,"INDEL",0.446276216162223,"ogp",0.602753767007025
47,"INDEL",0.446276216162223,"afam",0.879494946857128
33,"INDEL",0.0178156465639882,"ogp",0.235681960613298
33,"INDEL",0.0178156465639882,"afam",0.673897284980318
41,"SNP",0.112356215246188,"hrc",0.885284995258984
41,"SNP",0.112356215246188,"ogp",0.937894718332244
41,"SNP",0.112356215246188,"afam",0.960747633211731
8,"INDEL",5.55162742349606e-05,"ogp",0.00210197301697238
8,"INDEL",5.55162742349606e-05,"afam",0.0152834458064062
37,"SNP",0.0447351238127831,"hrc",0.896232480535175
37,"SNP",0.0447351238127831,"ogp",0.930694113594465
37,"SNP",0.0447351238127831,"afam",0.960604697140895
36,"SNP",0.0355307753280991,"hrc",0.894795834412815
36,"SNP",0.0355307753280991,"ogp",0.92959216746467
36,"SNP",0.0355307753280991,"afam",0.963565746099505
36,"INDEL",0.0355379000036761,"ogp",0.248272988778639
36,"INDEL",0.0355379000036761,"afam",0.714080464171601
35,"SNP",0.0282287301580559,"hrc",0.89137758449555
35,"SNP",0.0282287301580559,"ogp",0.92839643512054
35,"SNP",0.0282287301580559,"afam",0.964041023872411
39,"SNP",0.0709075650261237,"hrc",0.893047442216232
39,"SNP",0.0709075650261237,"ogp",0.933540184932732
39,"SNP",0.0709075650261237,"afam",0.962178233701184
42,"SNP",0.141478302584971,"hrc",0.878620995498335
42,"SNP",0.141478302584971,"ogp",0.939170343677308
42,"SNP",0.141478302584971,"afam",0.959486408541449
44,"INDEL",0.223937651933089,"ogp",0.412862426494718
44,"INDEL",0.223937651933089,"afam",0.826487622730538
40,"INDEL",0.0892581264189894,"ogp",0.287540372883094
40,"INDEL",0.0892581264189894,"afam",0.767069398636294
28,"SNP",0.00563085753774552,"hrc",0.744442072749645
28,"SNP",0.00563085753774552,"ogp",0.902073000765918
28,"SNP",0.00563085753774552,"afam",0.958861419082656
47,"SNP",0.447826111187655,"hrc",0.856831382642053
47,"SNP",0.447826111187655,"ogp",0.957152398703347
47,"SNP",0.447826111187655,"afam",0.963861214755549
34,"SNP",0.0224254805914,"hrc",0.886147815590221
34,"SNP",0.0224254805914,"ogp",0.926318856945115
34,"SNP",0.0224254805914,"afam",0.96346753361078
29,"INDEL",0.00709099642959536,"ogp",0.215421733306526
29,"INDEL",0.00709099642959536,"afam",0.614451445118401
32,"INDEL",0.0141513910001417,"ogp",0.233028198951396
32,"INDEL",0.0141513910001417,"afam",0.661099617401162
25,"INDEL",0.00282106636196027,"ogp",0.154494270647476
25,"INDEL",0.00282106636196027,"afam",0.556348545524232
28,"INDEL",0.00563110975630005,"ogp",0.205973027974364
28,"INDEL",0.00563110975630005,"afam",0.599813706729844
33,"SNP",0.0178123169095571,"hrc",0.879924491865203
33,"SNP",0.0178123169095571,"ogp",0.924403008872798
33,"SNP",0.0178123169095571,"afam",0.962676392156553
25,"SNP",0.00281851143866152,"hrc",0.438375517208175
25,"SNP",0.00281851143866152,"ogp",0.78632457750254
25,"SNP",0.00281851143866152,"afam",0.954247107299049
10,"SNP",9.49204717282901e-05,"hrc",0.107771655382979
10,"SNP",9.49204717282901e-05,"ogp",0.0572260501911727
10,"SNP",9.49204717282901e-05,"afam",0.0586611152897094
16,"SNP",0.000355450227866288,"hrc",0.199648352279251
16,"SNP",0.000355450227866288,"ogp",0.210735661384774
16,"SNP",0.000355450227866288,"afam",0.424485087266047
31,"INDEL",0.0112407279496612,"ogp",0.228123357765178
31,"INDEL",0.0112407279496612,"afam",0.646261927810815
26,"INDEL",0.00355235721592781,"ogp",0.176774073816318
26,"INDEL",0.00355235721592781,"afam",0.570415477764632
15,"INDEL",0.000282885096460667,"ogp",0.031630619856152
15,"INDEL",0.000282885096460667,"afam",0.180946174841321
11,"INDEL",0.000115109084815296,"ogp",0.0144478676696708
11,"INDEL",0.000115109084815296,"afam",0.0550756999783355
6,"SNP",3.49789667788114e-05,"hrc",0.00830955629670672
6,"SNP",3.49789667788114e-05,"ogp",0.0132701189030895
6,"SNP",3.49789667788114e-05,"afam",0.0118227765337148
16,"INDEL",0.000355414585989709,"ogp",0.0330560378667485
16,"INDEL",0.000355414585989709,"afam",0.218104151314797
9,"INDEL",7.1707739075938e-05,"ogp",0.0128185374121465
9,"INDEL",7.1707739075938e-05,"afam",0.0303151168925396
18,"INDEL",0.000563721779928604,"ogp",0.0502533394748964
18,"INDEL",0.000563721779928604,"afam",0.33190781897743
38,"SNP",0.0562957391456318,"hrc",0.895264712645711
38,"SNP",0.0562957391456318,"ogp",0.932222477726873
38,"SNP",0.0562957391456318,"afam",0.962739167094146
20,"SNP",0.00089505077498338,"hrc",0.248702940914418
20,"SNP",0.00089505077498338,"ogp",0.433031216557709
20,"SNP",0.00089505077498338,"afam",0.845942474120012
31,"SNP",0.0112380044548908,"hrc",0.867330800938126
31,"SNP",0.0112380044548908,"ogp",0.921163402676856
31,"SNP",0.0112380044548908,"afam",0.962665445070936
32,"SNP",0.0141528250013176,"hrc",0.874011650805485
32,"SNP",0.0141528250013176,"ogp",0.922761426806819
32,"SNP",0.0141528250013176,"afam",0.962818617140043
45,"SNP",0.282156428430661,"hrc",0.861317956849126
45,"SNP",0.282156428430661,"ogp",0.948271268913011
45,"SNP",0.282156428430661,"afam",0.958455568465583
5,"SNP",2.71794633216448e-05,"hrc",0.0122898432301469
5,"SNP",2.71794633216448e-05,"ogp",0.0158290687387064
5,"SNP",2.71794633216448e-05,"afam",0.00951253693186512
5,"INDEL",2.76249477273612e-05,"ogp",0.00190345489810356
5,"INDEL",2.76249477273612e-05,"afam",0.0101021903185808
4,"SNP",2.38338468856593e-05,"hrc",0.0243664613237946
4,"SNP",2.38338468856593e-05,"ogp",0.0167871938556471
4,"SNP",2.38338468856593e-05,"afam",0.00554560536435837
4,"INDEL",2.38968804856003e-05,"ogp",0.00742337492261392
4,"INDEL",2.38968804856003e-05,"afam",0.00616994739259599
23,"SNP",0.00177586879040454,"hrc",0.317320602996149
23,"SNP",0.00177586879040454,"ogp",0.64551534953501
23,"SNP",0.00177586879040454,"afam",0.946456628657696
26,"SNP",0.00354987888476651,"hrc",0.536209569297805
26,"SNP",0.00354987888476651,"ogp",0.84241976705212
26,"SNP",0.00354987888476651,"afam",0.956762940218823
49,"SNP",0.710491757179165,"hrc",0.873660174128045
49,"SNP",0.710491757179165,"ogp",0.969872823399442
49,"SNP",0.710491757179165,"afam",0.977364340575517
44,"SNP",0.224142646655179,"hrc",0.866254481408166
44,"SNP",0.224142646655179,"ogp",0.943628502137492
44,"SNP",0.224142646655179,"afam",0.957738546749348
40,"SNP",0.0892863455976592,"hrc",0.888340675625781
40,"SNP",0.0892863455976592,"ogp",0.934624936144816
40,"SNP",0.0892863455976592,"afam",0.961829773459509
34,"INDEL",0.0224251336407183,"ogp",0.241630473457169
34,"INDEL",0.0224251336407183,"afam",0.687784681524261
46,"SNP",0.355227416012224,"hrc",0.860119547896481
46,"SNP",0.355227416012224,"ogp",0.953332279949169
46,"SNP",0.355227416012224,"afam",0.961832753972043
41,"INDEL",0.112347308809402,"ogp",0.306151268030886
41,"INDEL",0.112347308809402,"afam",0.781689937374949
43,"SNP",0.178035586723105,"hrc",0.871325696009685
43,"SNP",0.178035586723105,"ogp",0.940409377232666
43,"SNP",0.178035586723105,"afam",0.95812373861204
43,"INDEL",0.177970877256889,"ogp",0.369284001898403
43,"INDEL",0.177970877256889,"afam",0.811761985697075
42,"INDEL",0.141451017797855,"ogp",0.332551752627794
42,"INDEL",0.141451017797855,"afam",0.798302452607904
39,"INDEL",0.070910465636121,"ogp",0.271418707175864
39,"INDEL",0.070910465636121,"afam",0.754574547192861
50,"SNP",0.900786741627408,"hrc",0.809107450139637
50,"SNP",0.900786741627408,"ogp",0.938300093091484
50,"SNP",0.900786741627408,"afam",0.98381195520325
45,"INDEL",0.281860701227992,"ogp",0.465919421335312
45,"INDEL",0.281860701227992,"afam",0.84293106244134
46,"INDEL",0.354540311405001,"ogp",0.532281725336204
46,"INDEL",0.354540311405001,"afam",0.859176376749349
50,"INDEL",0.902325054493094,"ogp",0.736430057063623
50,"INDEL",0.902325054493094,"afam",0.949634686150072
49,"INDEL",0.706913388923557,"ogp",0.762909516380655
49,"INDEL",0.706913388923557,"afam",0.933044071762871
