"coverage","id","METRIC.F1_Score","caller","TRUTH.TP","TRUTH.TOTAL","QUERY.FP","TRUTH.FN","FP.gt","FP.al","caller.1","Type"
5.376196,146,0.909091,"DV-0.10.0",10,12,0,2,0,0,"DV-0.10.0","INDEL"
5.376196,146,0.885904,"DV-0.10.0",156491,189694,7106,33203,6918,0,"DV-0.10.0","SNP"
5.376196,146,0.956522,"GATK-3.5.0",11,12,0,1,0,0,"GATK-3.5.0","INDEL"
5.376196,146,0.785937,"GATK-3.5.0",127545,189694,7329,62149,7305,0,"GATK-3.5.0","SNP"
5.376196,146,0.956522,"GATK-4.1.0.0",11,12,0,1,0,0,"GATK-4.1.0.0","INDEL"
5.376196,146,0.853386,"GATK-4.1.0.0",146823,189694,7578,42871,7530,0,"GATK-4.1.0.0","SNP"
6.702725,91,0.923077,"DV-0.10.0",6,7,0,1,0,0,"DV-0.10.0","INDEL"
6.702725,91,0.931983,"DV-0.10.0",166071,185538,4773,19467,4577,0,"DV-0.10.0","SNP"
6.702725,91,0.923077,"GATK-3.5.0",6,7,0,1,0,0,"GATK-3.5.0","INDEL"
6.702725,91,0.866771,"GATK-3.5.0",145670,185538,4913,39868,4883,0,"GATK-3.5.0","SNP"
6.702725,91,0.923077,"GATK-4.1.0.0",6,7,0,1,0,0,"GATK-4.1.0.0","INDEL"
6.702725,91,0.914226,"GATK-4.1.0.0",160475,185538,5049,25063,4997,0,"GATK-4.1.0.0","SNP"
6.785016,148,1,"DV-0.10.0",8,8,0,0,0,0,"DV-0.10.0","INDEL"
6.785016,148,0.931485,"DV-0.10.0",170303,190129,5227,19826,4918,0,"DV-0.10.0","SNP"
6.785016,148,0.933333,"GATK-3.5.0",7,8,0,1,0,0,"GATK-3.5.0","INDEL"
6.785016,148,0.857845,"GATK-3.5.0",146861,190129,5405,43268,5382,0,"GATK-3.5.0","SNP"
6.785016,148,0.933333,"GATK-4.1.0.0",7,8,0,1,0,0,"GATK-4.1.0.0","INDEL"
6.785016,148,0.90991,"GATK-4.1.0.0",163327,190129,5540,26802,5483,0,"GATK-4.1.0.0","SNP"
6.96983,75,0.8,"DV-0.10.0",6,9,0,3,0,0,"DV-0.10.0","INDEL"
6.96983,75,0.918871,"DV-0.10.0",166855,190816,5503,23961,5329,0,"DV-0.10.0","SNP"
6.96983,75,0.714286,"GATK-3.5.0",5,9,0,4,0,0,"GATK-3.5.0","INDEL"
6.96983,75,0.853505,"GATK-3.5.0",146071,190816,5398,44745,5372,0,"GATK-3.5.0","SNP"
6.96983,75,0.8,"GATK-4.1.0.0",6,9,0,3,0,0,"GATK-4.1.0.0","INDEL"
6.96983,75,0.897843,"GATK-4.1.0.0",160111,190816,5730,30705,5677,0,"GATK-4.1.0.0","SNP"
7.152798,30,1,"DV-0.10.0",6,6,0,0,0,0,"DV-0.10.0","INDEL"
7.152798,30,0.952154,"DV-0.10.0",175095,189558,3134,14463,3046,0,"DV-0.10.0","SNP"
7.152798,30,0.666667,"GATK-3.5.0",3,6,0,3,0,0,"GATK-3.5.0","INDEL"
7.152798,30,0.884248,"GATK-3.5.0",153073,189558,3591,36485,3570,0,"GATK-3.5.0","SNP"
7.152798,30,0.909091,"GATK-4.1.0.0",5,6,0,1,0,0,"GATK-4.1.0.0","INDEL"
7.152798,30,0.929717,"GATK-4.1.0.0",167846,189558,3665,21712,3631,0,"GATK-4.1.0.0","SNP"
7.583176,262,0.941176,"DV-0.10.0",8,9,0,1,0,0,"DV-0.10.0","INDEL"
7.583176,262,0.944802,"DV-0.10.0",172843,188168,4871,15325,4528,0,"DV-0.10.0","SNP"
7.583176,262,0.8,"GATK-3.5.0",6,9,0,3,0,0,"GATK-3.5.0","INDEL"
7.583176,262,0.890163,"GATK-3.5.0",154830,188168,4871,33338,4838,0,"GATK-3.5.0","SNP"
7.583176,262,0.875,"GATK-4.1.0.0",7,9,0,2,0,0,"GATK-4.1.0.0","INDEL"
7.583176,262,0.930732,"GATK-4.1.0.0",168133,188168,4991,20035,4903,0,"GATK-4.1.0.0","SNP"
8.395874,96,0.888889,"DV-0.10.0",8,10,0,2,0,0,"DV-0.10.0","INDEL"
8.395874,96,0.960845,"DV-0.10.0",176390,187348,3418,10958,3184,0,"DV-0.10.0","SNP"
8.395874,96,0.823529,"GATK-3.5.0",7,10,0,3,0,0,"GATK-3.5.0","INDEL"
8.395874,96,0.90875,"GATK-3.5.0",159039,187348,3630,28309,3597,0,"GATK-3.5.0","SNP"
8.395874,96,0.947368,"GATK-4.1.0.0",9,10,0,1,0,0,"GATK-4.1.0.0","INDEL"
8.395874,96,0.944532,"GATK-4.1.0.0",170966,187348,3698,16382,3633,0,"GATK-4.1.0.0","SNP"
8.751171,65,0.833333,"DV-0.10.0",5,7,0,2,0,0,"DV-0.10.0","INDEL"
8.751171,65,0.968263,"DV-0.10.0",178858,188077,2506,9219,2353,0,"DV-0.10.0","SNP"
8.751171,65,0.727273,"GATK-3.5.0",4,7,0,3,0,0,"GATK-3.5.0","INDEL"
8.751171,65,0.926518,"GATK-3.5.0",164620,188077,2655,23457,2624,0,"GATK-3.5.0","SNP"
8.751171,65,0.833333,"GATK-4.1.0.0",5,7,0,2,0,0,"GATK-4.1.0.0","INDEL"
8.751171,65,0.956688,"GATK-4.1.0.0",174917,188077,2678,13160,2638,0,"GATK-4.1.0.0","SNP"
9.196328,275,1,"DV-0.10.0",7,7,0,0,0,0,"DV-0.10.0","INDEL"
9.196328,275,0.976148,"DV-0.10.0",180294,187151,1954,6857,1834,0,"DV-0.10.0","SNP"
9.196328,275,1,"GATK-3.5.0",7,7,0,0,0,0,"GATK-3.5.0","INDEL"
