type,count,AF,r2,panel
SNP,10279613,0.00041085,0.331662,GATK panel with DV truth
SNP,2821919,0.0015373,0.687048,GATK panel with DV truth
SNP,3947371,0.00332016,0.783737,GATK panel with DV truth
SNP,2846589,0.00726697,0.838442,GATK panel with DV truth
SNP,2475343,0.0143246,0.861605,GATK panel with DV truth
SNP,2494213,0.0319975,0.872007,GATK panel with DV truth
SNP,1547213,0.0720452,0.86564,GATK panel with DV truth
SNP,1629980,0.144972,0.860308,GATK panel with DV truth
SNP,2347359,0.329149,0.826274,GATK panel with DV truth
SNP,1840791,0.732956,0.635324,GATK panel with DV truth
INDEL,908252,0.000411415,0.231943,GATK panel with DV truth
INDEL,281867,0.00150803,0.551811,GATK panel with DV truth
INDEL,394818,0.00332847,0.683771,GATK panel with DV truth
INDEL,284535,0.00722672,0.750671,GATK panel with DV truth
INDEL,247903,0.014311,0.772305,GATK panel with DV truth
INDEL,249847,0.0319333,0.776801,GATK panel with DV truth
INDEL,152882,0.0719418,0.768479,GATK panel with DV truth
INDEL,155624,0.144674,0.762552,GATK panel with DV truth
INDEL,216783,0.327676,0.724871,GATK panel with DV truth
INDEL,171389,0.744842,0.379279,GATK panel with DV truth
SNP,10279613,0.00041085,0.384704,DV panel with DV truth
SNP,2821919,0.0015373,0.742657,DV panel with DV truth
SNP,3947371,0.00332016,0.821249,DV panel with DV truth
SNP,2846589,0.00726697,0.871802,DV panel with DV truth
SNP,2475343,0.0143246,0.895216,DV panel with DV truth
SNP,2494213,0.0319975,0.908328,DV panel with DV truth
SNP,1547213,0.0720452,0.906828,DV panel with DV truth
SNP,1629980,0.144972,0.905205,DV panel with DV truth
SNP,2347359,0.329149,0.885569,DV panel with DV truth
SNP,1840791,0.732956,0.809946,DV panel with DV truth
INDEL,908252,0.000411415,0.34641,DV panel with DV truth
INDEL,281867,0.00150803,0.650539,DV panel with DV truth
INDEL,394818,0.00332847,0.732536,DV panel with DV truth
INDEL,284535,0.00722672,0.778505,DV panel with DV truth
INDEL,247903,0.014311,0.794944,DV panel with DV truth
INDEL,249847,0.0319333,0.796075,DV panel with DV truth
INDEL,152882,0.0719418,0.785523,DV panel with DV truth
INDEL,155624,0.144674,0.778135,DV panel with DV truth
INDEL,216783,0.327676,0.738623,DV panel with DV truth
INDEL,171389,0.744842,0.543588,DV panel with DV truth
SNP,9473240,0.000415657,0.404095,DV panel with GATK truth
SNP,2557263,0.00155577,0.788738,DV panel with GATK truth
SNP,3629138,0.00333408,0.863836,DV panel with GATK truth
SNP,2639832,0.00727713,0.91054,DV panel with GATK truth
SNP,2212002,0.0141336,0.931342,DV panel with GATK truth
SNP,2383620,0.0313427,0.944535,DV panel with GATK truth
SNP,1460322,0.0715045,0.948136,DV panel with GATK truth
SNP,1539568,0.144567,0.948287,DV panel with GATK truth
SNP,2215924,0.328081,0.946897,DV panel with GATK truth
SNP,1752114,0.733429,0.937799,DV panel with GATK truth
INDEL,552362,0.000463149,0.344239,DV panel with GATK truth
INDEL,239767,0.00153685,0.610043,DV panel with GATK truth
INDEL,386302,0.00338201,0.708941,DV panel with GATK truth
INDEL,294112,0.00725341,0.759674,DV panel with GATK truth
INDEL,247343,0.0141124,0.777825,DV panel with GATK truth
INDEL,266371,0.031357,0.781919,DV panel with GATK truth
INDEL,160991,0.0713327,0.777955,DV panel with GATK truth
INDEL,163092,0.14427,0.772556,DV panel with GATK truth
INDEL,225222,0.326668,0.746466,DV panel with GATK truth
INDEL,172046,0.742115,0.588014,DV panel with GATK truth
SNP,9473240,0.000415657,0.357779,GATK panel with GATK truth
SNP,2557263,0.00155577,0.748249,GATK panel with GATK truth
SNP,3629138,0.00333408,0.843107,GATK panel with GATK truth
SNP,2639832,0.00727713,0.893466,GATK panel with GATK truth
SNP,2212002,0.0141336,0.912796,GATK panel with GATK truth
SNP,2383620,0.0313427,0.919586,GATK panel with GATK truth
SNP,1460322,0.0715045,0.917218,GATK panel with GATK truth
SNP,1539568,0.144567,0.913868,GATK panel with GATK truth
SNP,2215924,0.328081,0.898021,GATK panel with GATK truth
SNP,1752114,0.733429,0.779717,GATK panel with GATK truth
INDEL,552362,0.000463149,0.265353,GATK panel with GATK truth
INDEL,239767,0.00153685,0.562063,GATK panel with GATK truth
INDEL,386302,0.00338201,0.709635,GATK panel with GATK truth
INDEL,294112,0.00725341,0.77936,GATK panel with GATK truth
INDEL,247343,0.0141124,0.799442,GATK panel with GATK truth
INDEL,266371,0.031357,0.803414,GATK panel with GATK truth
INDEL,160991,0.0713327,0.801316,GATK panel with GATK truth
INDEL,163092,0.14427,0.799135,GATK panel with GATK truth
INDEL,225222,0.326668,0.77429,GATK panel with GATK truth
INDEL,172046,0.742115,0.458978,GATK panel with GATK truth
