variant,ngenotype,af,r2,truth,phaser,refinement,caller
SNP,33248,0.000629698,0.437911,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,38910,0.00149065,0.653553,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,69016,0.00343611,0.785625,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,59751,0.00730836,0.857866,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,59214,0.0144803,0.911203,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,72793,0.032604,0.951584,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,48374,0.0719597,0.970214,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,41852,0.143461,0.979017,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,48571,0.323274,0.98655,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,35505,0.724105,0.985947,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,2633,0.000614085,0.222716,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,3956,0.00151516,0.401493,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,8374,0.00344159,0.569656,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,8636,0.00732891,0.66902,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,9466,0.0144854,0.766975,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,13395,0.0329068,0.826515,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,9737,0.0722992,0.849054,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,8800,0.143237,0.86695,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,8993,0.315794,0.924169,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
INDEL,4310,0.698718,0.952959,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,GATK-3.5.0
SNP,33248,0.000629698,0.375429,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,38910,0.00149065,0.620286,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,69016,0.00343611,0.766989,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,59751,0.00730836,0.848311,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,59214,0.0144803,0.903931,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,72793,0.032604,0.946185,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,48374,0.0719597,0.964371,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,41852,0.143461,0.972831,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,48571,0.323274,0.980416,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,35505,0.724105,0.978731,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,2633,0.000614085,0.138506,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,3956,0.00151516,0.279986,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,8374,0.00344159,0.485648,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,8636,0.00732891,0.573119,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,9466,0.0144854,0.64474,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,13395,0.0329068,0.689851,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,9737,0.0722992,0.702681,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,8800,0.143237,0.719814,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,8993,0.315794,0.803709,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
INDEL,4310,0.698718,0.873414,GATK-3.5.0,Eagle-2.4.1,with genotype refinement,DV-0.10.0
SNP,33248,0.000629698,0.366638,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,38910,0.00149065,0.593367,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,69016,0.00343611,0.74801,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,59751,0.00730836,0.83227,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,59214,0.0144803,0.893407,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,72793,0.032604,0.941739,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,48374,0.0719597,0.962801,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,41852,0.143461,0.973149,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,48571,0.323274,0.981836,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
SNP,35505,0.724105,0.983941,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,2633,0.000614085,0.180533,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,3956,0.00151516,0.355062,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,8374,0.00344159,0.536105,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
INDEL,8636,0.00732891,0.634414,GATK-3.5.0,Eagle-2.4.1,no genotype refinement,GATK-3.5.0
